municipio,ano,ndvi_mean,n_imagenes,error,area_cosechada_eva,produccion_eva,area_cana,coherencia,vv_db,vh_db,n_img_radar,coherencia_final,fuente
Roldanillo,2020,0.6175909185548003,34,,5988.900000000001,390061.01,2901.3,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Roldanillo,2021,0.6310216694143669,22,,6724.760000000001,364418.34,2659.9,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Roldanillo,2022,0.5439121778658255,20,,7233.379999999999,372930.76,2976.3,✅ Coherente,,,,✅ Coherente,Optico
Roldanillo,2023,0.5809794098389175,20,,6309.45,371323.62,2985.63,✅ Coherente,,,,✅ Coherente,Optico
Roldanillo,2024,0.6206860640430125,31,,7423.670000000001,379779.98,3023.63,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Roldanillo,2025,0.6197668982571723,23,,7040.79,381138.97,3085.21,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
San Pedro,2019,0.6756508976169189,9,,6621.5,642389.05,5250.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
San Pedro,2020,0.6510982606171305,8,,6384.5,612074.3,4739.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
San Pedro,2021,,3,Nublado,6118.67,578917.3,4769.0,Sin datos satelitales,-9.18,-15.38,72.0,✅ Coherente (radar),Radar
San Pedro,2022,,3,Nublado,6752.139999999999,533784.6799999999,5555.7,Sin datos satelitales,-9.21,-15.48,30.0,✅ Coherente (radar),Radar
San Pedro,2023,0.6429874307934731,5,,6778.969999999999,536100.41,5577.7,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
San Pedro,2024,0.6343354163238192,6,,6646.759999999999,534733.24,5577.7,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
San Pedro,2025,,3,Nublado,6768.41,549116.7799999999,5732.7,Sin datos satelitales,-9.42,-15.65,68.0,✅ Coherente (radar),Radar
Sevilla,2019,0.6508328106246793,15,,11679.0,105702.3,195.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Sevilla,2020,0.5322185174121266,15,,13607.03,82622.86,214.0,✅ Coherente,,,,✅ Coherente,Optico
Sevilla,2021,0.4875401700126436,6,,12589.52,93304.67,197.0,✅ Coherente,,,,✅ Coherente,Optico
Sevilla,2022,0.5105335204060065,8,,12777.6,196508.84,175.0,✅ Coherente,,,,✅ Coherente,Optico
Sevilla,2023,0.5303753972085766,9,,12719.67,187190.67,175.0,✅ Coherente,,,,✅ Coherente,Optico
Sevilla,2024,0.5121667955074862,13,,12579.59,177556.77000000002,175.0,✅ Coherente,,,,✅ Coherente,Optico
Sevilla,2025,0.6259043458754463,9,,12801.88,187469.12,175.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Toro,2019,0.3770323510455605,18,,4098.0,237742.52,2034.0,➖ Indeterminado,,,,➖ Indeterminado,Optico
Toro,2020,0.6466222356207341,26,,4295.0,39357.1,2045.0,✅ Coherente,,,,✅ Coherente,Optico
Toro,2021,0.5988904117244758,18,,4044.7,233483.46,1994.0,✅ Coherente,,,,✅ Coherente,Optico
Toro,2022,0.5307554536368744,17,,4015.99,232555.32,1994.0,✅ Coherente,,,,✅ Coherente,Optico
Toro,2023,0.5818050492184715,16,,4007.01,231437.97,1994.0,✅ Coherente,,,,✅ Coherente,Optico
Toro,2024,0.5781649457243545,25,,4047.08,231443.35,1994.0,✅ Coherente,,,,✅ Coherente,Optico
Toro,2025,0.601792118041963,20,,4126.51,255466.43,2224.0,✅ Coherente,,,,✅ Coherente,Optico
Trujillo,2019,0.7224563246517554,7,,7835.349999999999,60205.97,141.5,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Trujillo,2020,0.6470335362461591,5,,8203.17,61315.08,173.1,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Trujillo,2021,0.7000415749219567,6,,7864.27,67067.37,217.2,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Trujillo,2022,,2,Nublado,7910.11,76976.85999999999,240.0,Sin datos satelitales,-7.39,-13.94,30.0,✅ Coherente (radar),Radar
Trujillo,2023,,2,Nublado,7974.68,75920.12,228.0,Sin datos satelitales,-7.51,-14.07,31.0,✅ Coherente (radar),Radar
Trujillo,2024,0.7111204327167042,5,,8010.700000000001,79693.87999999999,257.5,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Trujillo,2025,,2,Nublado,8482.83,90094.37,297.5,Sin datos satelitales,-7.57,-14.11,68.0,✅ Coherente (radar),Radar
Tuluá,2019,0.6389491117117383,9,,12443.5,798043.85,7004.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Tuluá,2020,0.6445053288736817,8,,13178.0,834124.21,8164.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Tuluá,2021,,4,Nublado,13055.52,766911.62,8163.0,Sin datos satelitales,-9.38,-15.62,93.0,✅ Coherente (radar),Radar
Tuluá,2022,,3,Nublado,13122.59,759444.67,8152.0,Sin datos satelitales,-9.26,-15.6,30.0,✅ Coherente (radar),Radar
Tuluá,2023,0.6201475807420835,5,,13128.07,840824.62,8152.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Tuluá,2024,0.616673146821108,6,,13083.92,841357.86,8148.0,✅ Coherente (Alto NDVI / Alta Area),,,,✅ Coherente (Alto NDVI / Alta Area),Optico
Tuluá,2025,,3,Nublado,13046.07,841325.75,8144.0,Sin datos satelitales,-9.56,-15.91,68.0,✅ Coherente (radar),Radar
Ulloa,2019,0.6055754584374741,41,,1088.24,10375.78,0.0,✅ Coherente,,,,✅ Coherente,Optico
Ulloa,2020,0.6151586850965299,51,,1178.0,11162.35,0.0,✅ Coherente,,,,✅ Coherente,Optico
Ulloa,2021,0.6210434833729366,36,,1085.89,8328.08,0.0,✅ Coherente,,,,✅ Coherente,Optico
Ulloa,2022,0.6359616296221017,21,,1037.09,7734.93,0.0,✅ Coherente,,,,✅ Coherente,Optico
Ulloa,2023,0.627484084711601,38,,952.85,5805.379999999999,0.0,➖ Indeterminado,,,,➖ Indeterminado,Optico
Ulloa,2024,0.6104647954262754,54,,954.56,5225.66,0.0,➖ Indeterminado,,,,➖ Indeterminado,Optico
Ulloa,2025,0.6779192397622505,39,,819.98,3588.15,0.0,➖ Indeterminado,,,,➖ Indeterminado,Optico
Versalles,2019,0.2877033681165564,18,,2488.7,46899.38,466.0,➖ Indeterminado,,,,➖ Indeterminado,Optico
Versalles,2020,0.6954745503961266,26,,3047.5,46933.78,424.0,✅ Coherente,,,,✅ Coherente,Optico
Versalles,2021,0.660991760940136,18,,2259.99,46370.89,429.0,✅ Coherente,,,,✅ Coherente,Optico
Versalles,2022,0.540904743993312,17,,3342.06,54248.5,429.0,✅ Coherente,,,,✅ Coherente,Optico
Versalles,2023,0.5966214241900171,16,,3269.24,54745.43000000001,429.0,✅ Coherente,,,,✅ Coherente,Optico
