municipio,ano,ndvi_mean,n_imagenes,error,area_cosechada_eva,produccion_eva,area_cana,coherencia
Bugalagrande,2020,0.6363679955295065,8,,13594.0,1167919.2,9630.0,✅ Coherente (Alto NDVI / Alta Area)
Bugalagrande,2021,,4,Nublado,13752.230000000001,1297798.19,9541.0,Sin datos satelitales
Bugalagrande,2022,,3,Nublado,13737.22,1512309.97,9549.0,Sin datos satelitales
Bugalagrande,2023,0.6331732027687618,5,,13725.51,1513181.55,9549.0,✅ Coherente (Alto NDVI / Alta Area)
Bugalagrande,2024,0.6228404226290822,6,,13802.83,1514631.9700000002,9549.0,✅ Coherente (Alto NDVI / Alta Area)
Bugalagrande,2025,,3,Nublado,14882.2,1523305.4300000002,9549.0,Sin datos satelitales
Caicedonia,2019,0.6644238488966252,9,,10809.5,110960.27,125.0,✅ Coherente (Alto NDVI / Alta Area)
Caicedonia,2020,0.6843976030004633,12,,10152.96,85850.1,125.0,✅ Coherente (Alto NDVI / Alta Area)
Caicedonia,2021,,3,Nublado,10335.48,85423.48,125.0,Sin datos satelitales
Caicedonia,2022,0.5454965451009313,7,,10661.32,96785.78,125.0,✅ Coherente
Caicedonia,2023,0.6447970759449478,7,,10884.890000000001,99387.05,135.0,✅ Coherente (Alto NDVI / Alta Area)
Caicedonia,2024,0.5923984248138037,12,,10740.44,100118.04,135.0,✅ Coherente
Caicedonia,2025,0.6700794681556131,9,,10575.77,102804.66,149.0,✅ Coherente (Alto NDVI / Alta Area)
Calima,2019,0.3712236141734029,6,,1264.0,18571.75,89.5,➖ Indeterminado
Calima,2020,0.2911612010313553,6,,1195.4700000000003,17627.559999999998,86.5,➖ Indeterminado
Calima,2021,,3,Nublado,1083.8200000000002,19879.7,94.5,Sin datos satelitales
Calima,2022,,4,Nublado,1181.21,21732.2,93.5,Sin datos satelitales
Calima,2023,0.45269860047756,5,,1380.63,25611.210000000003,107.5,✅ Coherente
Calima,2024,,4,Nublado,1320.3799999999999,27584.82,122.5,Sin datos satelitales
Calima,2025,0.47605231817714805,5,,1274.1,27994.83,122.5,✅ Coherente
Candelaria,2019,0.6204669390495371,11,,22536.710000000003,2829523.4,22317.0,✅ Coherente (Alto NDVI / Alta Area)
Candelaria,2020,0.6309030079658983,14,,22532.520000000004,2829924.5999999996,22317.0,✅ Coherente (Alto NDVI / Alta Area)
Candelaria,2021,0.568836004745185,7,,22920.32,2672150.8499999996,22701.0,✅ Coherente
Candelaria,2022,0.5496321583068122,6,,26142.72,3046590.18,25952.5,✅ Coherente
Candelaria,2023,0.607200700078705,8,,26161.620000000003,3097158.21,25962.5,✅ Coherente (Alto NDVI / Alta Area)
Candelaria,2024,0.6366624885567043,16,,26847.620000000003,3182754.7100000004,26672.5,✅ Coherente (Alto NDVI / Alta Area)
Candelaria,2025,0.6427528601442396,5,,26861.620000000003,3189450.3600000003,26672.5,✅ Coherente (Alto NDVI / Alta Area)
Cartago,2019,0.6174148299956475,41,,7209.54,559174.93,4215.6,✅ Coherente (Alto NDVI / Alta Area)
Cartago,2020,0.6276613873509703,51,,7234.2,571214.44,4314.88,✅ Coherente (Alto NDVI / Alta Area)
Cartago,2021,0.6383544782289029,36,,7149.4400000000005,551827.9299999999,4315.6,✅ Coherente (Alto NDVI / Alta Area)
Cartago,2022,0.6510367502503971,21,,6811.9800000000005,678271.23,4335.6,✅ Coherente (Alto NDVI / Alta Area)
Cartago,2023,0.6457496551769504,38,,6869.35,682280.4199999999,4385.6,✅ Coherente (Alto NDVI / Alta Area)
Cartago,2024,0.6203699098649388,54,,7839.07,689814.3299999998,4385.6,✅ Coherente (Alto NDVI / Alta Area)
Cartago,2025,0.6843742322176408,39,,7607.400000000001,691447.6299999999,4385.6,✅ Coherente (Alto NDVI / Alta Area)
Dagua,2019,0.5888923631612294,21,,5580.5,117612.9,327.0,✅ Coherente
Dagua,2020,0.5791679049660463,20,,4751.5,115511.23999999999,250.0,✅ Coherente
Dagua,2021,0.46568538771096285,13,,5127.610000000001,102538.18,275.0,✅ Coherente
Dagua,2022,0.5811741706747889,10,,5273.63,114696.66,275.0,✅ Coherente
Dagua,2023,0.5455088229920485,12,,5292.41,114566.70000000001,300.0,✅ Coherente
Dagua,2024,0.6072912714274887,19,,4338.37,100709.14,100.0,✅ Coherente
Dagua,2025,0.5282919337399052,13,,5373.42,165201.13,100.0,✅ Coherente
El Águila,2019,0.31050539950740663,18,,5559.9,24700.86,48.0,➖ Indeterminado
El Águila,2020,0.7163877249374949,26,,5614.0,23539.0,30.0,✅ Coherente (Alto NDVI / Alta Area)
El Águila,2021,0.6949367571527668,18,,6189.01,31047.449999999997,30.0,✅ Coherente (Alto NDVI / Alta Area)
El Águila,2022,0.5402116673507987,17,,6287.75,32391.950000000004,30.0,✅ Coherente
El Águila,2023,0.6118976549422344,16,,6337.23,33834.60999999999,30.0,✅ Coherente (Alto NDVI / Alta Area)
El Águila,2024,0.6771477730584298,26,,6195.88,34599.08,30.0,✅ Coherente (Alto NDVI / Alta Area)
El Águila,2025,0.6197812358236491,20,,6052.56,34874.89000000001,30.0,✅ Coherente (Alto NDVI / Alta Area)
El Cerrito,2019,0.6465142057665828,20,,18599.5,2053292.0,16965.0,✅ Coherente (Alto NDVI / Alta Area)
El Cerrito,2020,0.641858249642065,22,,18630.5,2050871.5,16965.0,✅ Coherente (Alto NDVI / Alta Area)
El Cerrito,2021,0.6141618154519087,12,,18084.760000000002,2047354.77,16965.0,✅ Coherente (Alto NDVI / Alta Area)
El Cerrito,2022,0.38878405787697795,9,,18327.34,2048518.7299999997,16965.0,➖ Indeterminado
El Cerrito,2023,0.6404177603054899,13,,18199.24,2064871.7799999998,16965.0,✅ Coherente (Alto NDVI / Alta Area)
El Cerrito,2024,0.6240341150981751,22,,18302.940000000002,2069517.8399999999,16965.0,✅ Coherente (Alto NDVI / Alta Area)
El Cerrito,2025,0.633657314251922,8,,18291.09,2068976.2699999998,16965.0,✅ Coherente (Alto NDVI / Alta Area)
El Dovio,2019,0.5643274200971155,7,,2010.23,23624.66,278.0,✅ Coherente
El Dovio,2020,0.6319528586396769,5,,2548.7,30353.2,278.0,✅ Coherente
El Dovio,2021,0.6974399998534895,6,,2260.0299999999997,28032.309999999998,195.8,✅ Coherente
El Dovio,2022,,2,Nublado,2149.84,25994.02,220.6,Sin datos satelitales
El Dovio,2023,,2,Nublado,2223.6000000000004,33238.47,218.5,Sin datos satelitales
El Dovio,2024,0.6711190490026965,5,,2443.42,35705.86,230.0,✅ Coherente
El Dovio,2025,,2,Nublado,2229.21,34904.520000000004,230.0,Sin datos satelitales
Florida,2019,0.5822538789565048,11,,12507.0,1338511.5999999999,10120.0,✅ Coherente
Florida,2020,0.5535399911362852,14,,12610.0,1343162.15,10120.0,✅ Coherente
Florida,2021,0.5201838884330854,7,,12558.33,1289069.3800000001,10120.0,✅ Coherente
Florida,2022,0.335899770246859,6,,12716.93,1280791.2500000005,10119.45,➖ Indeterminado
Florida,2023,0.6690288699061779,8,,13720.539999999999,1391292.5800000003,10986.45,✅ Coherente (Alto NDVI / Alta Area)
Florida,2024,0.5630634068288124,16,,14856.65,1539762.51,12181.45,✅ Coherente
Florida,2025,0.7593100788057605,5,,15588.269999999999,1630501.61,12911.45,✅ Coherente (Alto NDVI / Alta Area)
Ginebra,2019,0.6351233317466469,9,,4577.500000000001,366484.92,3320.0,✅ Coherente
Ginebra,2020,0.5364970553573041,8,,4593.17,362551.86,3317.0,✅ Coherente
Ginebra,2021,,3,Nublado,4887.08,502752.5200000001,3322.0,Sin datos satelitales
Ginebra,2022,,3,Nublado,3517.94,190165.44999999998,2012.0,Sin datos satelitales
Ginebra,2023,0.6317758739465936,5,,4505.28,286757.95999999996,3012.0,✅ Coherente
Ginebra,2024,0.5662250452033406,6,,4614.99,305212.21,3212.0,✅ Coherente
Ginebra,2025,,3,Nublado,4519.34,392087.42,3212.0,Sin datos satelitales
Guacarí,2019,0.6671908997933711,9,,15036.1,1706524.95,13210.0,✅ Coherente (Alto NDVI / Alta Area)
Guacarí,2020,0.6326319697599699,8,,15081.0,1710717.8,13250.0,✅ Coherente (Alto NDVI / Alta Area)
Guacarí,2021,,4,Nublado,15551.48,1699502.5400000003,13290.0,Sin datos satelitales
Guacarí,2022,,3,Nublado,16344.039999999999,1753065.59,13374.0,Sin datos satelitales
Guacarí,2023,0.6173301443564864,5,,15840.580000000002,1722943.9,13368.0,✅ Coherente (Alto NDVI / Alta Area)
Guacarí,2024,0.6325027938251176,6,,15809.300000000001,1723275.0,13374.0,✅ Coherente (Alto NDVI / Alta Area)
Guacarí,2025,,3,Nublado,15850.6,1724737.5,13371.0,Sin datos satelitales
Jamundí,2019,0.6074109864754852,11,,14214.5,868021.35,9258.0,✅ Coherente (Alto NDVI / Alta Area)
Jamundí,2020,0.6156604776421546,11,,14167.5,869768.5,9267.5,✅ Coherente (Alto NDVI / Alta Area)
Jamundí,2021,0.5339442234144778,7,,14285.29,1062517.53,9291.5,✅ Coherente
Jamundí,2022,0.5616874620581352,5,,14274.14,1058138.52,9293.0,✅ Coherente
Jamundí,2023,0.5931538867244864,7,,14243.34,1059064.27,9291.5,✅ Coherente
Jamundí,2024,0.5959208311416283,11,,14206.75,1057725.3599999999,9292.0,✅ Coherente
Jamundí,2025,,4,Nublado,14272.810000000001,1054762.8,9298.0,Sin datos satelitales
La Cumbre,2019,0.6257353240995757,5,,1704.6,27063.67,13.3,✅ Coherente
La Cumbre,2020,,3,Nublado,1790.7000000000003,25893.360000000004,16.8,Sin datos satelitales
La Cumbre,2021,,4,Nublado,1763.84,32487.350000000002,19.8,Sin datos satelitales
La Cumbre,2022,,1,Nublado,1876.54,38657.16,20.8,Sin datos satelitales
La Cumbre,2023,,2,Nublado,2058.07,45409.69,21.8,Sin datos satelitales
La Cumbre,2024,,1,Nublado,1954.94,45412.84,18.8,Sin datos satelitales
La Cumbre,2025,,0,Nublado,2108.75,47356.25,3.8,Sin datos satelitales
La Unión,2019,0.322794575852069,28,,4651.11,252828.45,1790.0,➖ Indeterminado
La Unión,2020,0.6596664567754029,34,,4601.709999999999,45617.33,1790.0,✅ Coherente
La Unión,2021,0.6462455078964292,22,,4566.949999999999,229136.22,1790.0,✅ Coherente
La Unión,2022,0.5014224767984146,20,,4589.720000000001,227977.27,1790.0,✅ Coherente
La Unión,2023,0.6027863390711738,21,,4640.370000000001,237804.57,1790.0,✅ Coherente
La Unión,2024,0.6131076532006282,31,,4105.1,235682.68,1807.0,✅ Coherente
La Unión,2025,0.5723206157371223,23,,4804.300000000001,253935.69,1916.0,✅ Coherente
