cultivo,ciclo,h,anio,series_total,series_pronosticadas,observado_2025_t,referencia_naive_t,pron_central_t,pi80_lo,pi80_hi,pi95_lo,pi95_hi,esc_normal_t,esc_historico_t,esc_estres_t,modelo_central,delta_central_vs_naive_pct
Pimentón,Transitorio,2.0,2027.0,31,27,15089.59,15089.59,14548.751146123277,13552.682799282973,24802.709860739586,11675.803748332472,28402.77652524701,16051.356226237298,14548.751146123277,11898.6598952724,pool_A_full,-3.5841852156137
Pitahaya,Permanente,1.0,2026.0,16,12,972.88,972.88,993.9324780812167,894.7472804658103,1651.8744244107706,764.4452085248208,2522.006942623911,1010.8243530636089,993.9324780812167,922.279863758687,pool_A_full,2.163933689788733
Pitahaya,Permanente,2.0,2027.0,16,12,972.88,972.88,1015.440517828168,925.2373000454143,2390.4894284825664,805.122363502922,4259.367924489801,1050.2486151904277,1015.440517828168,874.3114742771381,pool_A_full,4.374693469715485
Piña,Permanente,1.0,2026.0,28,21,189709.93,189709.93,193815.12708814468,178463.0809232177,211456.3571878183,161320.3034226652,242699.38615826538,197109.0137139139,193815.12708814468,179842.99029075535,pool_A_full,2.1639336897887773
Piña,Permanente,2.0,2027.0,28,21,189709.93,189709.93,198009.15791911184,185573.45987725613,230060.865760321,176290.71480927328,283835.45742965036,204796.67715481156,198009.15791911184,170489.23668213212,pool_A_full,4.374693469715507
Plantas aromáticas,Transitorio,1.0,2026.0,9,9,684.45,684.45,643.6706589158136,506.7596905335018,1140.616332449172,348.0175559354991,2026.4838814356976,672.0315321161031,643.6706589158136,538.1869445424431,pool_A_full,-5.957972252784927
Plantas aromáticas,Transitorio,2.0,2027.0,9,9,684.45,684.45,605.3209396582915,516.2439863762082,1263.4894376648472,331.8802022655534,1956.135261454405,659.8383814132762,605.3209396582915,423.17946858927723,pool_A_full,-11.560970171920303
Plátano,Permanente,1.0,2026.0,41,41,346213.00999999995,346213.00999999995,353704.82996182167,333759.63408655475,377994.6800598444,317501.1010506039,400206.64817409765,359716.0408842352,353704.82996182167,328206.2409488168,pool_A_full,2.163933689788755
Plátano,Permanente,2.0,2027.0,41,41,346213.00999999995,346213.00999999995,361358.7679397755,326613.4989286731,384139.96238370903,315293.75376210356,417693.39939486905,373745.7181907427,361358.7679397755,311136.0159392994,pool_A_full,4.374693469715529
Remolacha,Transitorio,,,1,0,,,,,,,,,,,,
Repollo,Transitorio,1.0,2026.0,12,12,5547.15,5547.15,5446.832844628896,4904.662323967053,8632.615702775203,4190.7542023113965,10908.03476178452,5721.199031658425,5446.832844628896,4925.839028685874,pool_A_full,-1.808444973925416
Repollo,Transitorio,2.0,2027.0,12,12,5547.15,5547.15,5348.329869812085,4461.569049477458,9876.867352804693,3575.0858836166008,13914.178737976259,5900.709077607293,5348.329869812085,4374.118265510216,pool_A_full,-3.5841852156136778
Romero,Permanente,1.0,2026.0,1,1,0.07,0.07,0.06477977886215892,0.023572461956907657,0.7803761160498202,0.0,6.4681086928880696,0.06468534245631022,0.06477977886215892,0.06037307083558145,pool_A_full,-7.457458768344405
Romero,Permanente,2.0,2027.0,1,1,0.07,0.07,0.05994885356328875,0.0,1.3894778132399184,0.0,8.323856934663787,0.05977419326700185,0.05994885356328875,0.05207010974454479,pool_A_full,-14.358780623873225
Rábano,Transitorio,,,1,0,,,,,,,,,,,,
Sacha inchi,Permanente,1.0,2026.0,9,2,10.0,10.0,9.25425412316556,8.647111863635354,32.63490546753335,5.60813757128941,437.3781517536857,9.240763208044317,9.25425412316556,8.624724405083064,pool_A_full,-7.457458768344393
