id_registro,municipio,cultivo,periodo,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_t_ha,tipo_anomalia
76400_cana_de_azucar_2021_permanente_cana_o_verde,La Unión,Caña,2021,1790.0,1790.0,208270.08,116.35,Anomalia multivariada (Isolation Forest)
76400_cana_de_azucar_2022_permanente_cana_o_verde,La Unión,Caña,2022,1790.0,1790.0,206642.97,115.44,Anomalia multivariada (Isolation Forest)
76400_cana_de_azucar_2023_permanente_cana_o_verde,La Unión,Caña,2023,1790.0,1790.0,214800.0,120.0,Anomalia multivariada (Isolation Forest)
76400_cana_de_azucar_2024_permanente_cana_o_verde,La Unión,Caña,2024,1916.0,1807.0,216840.0,120.0,Anomalia multivariada (Isolation Forest)
76403_cana_de_azucar_2022_permanente_cana_o_verde,La Victoria,Caña,2022,1575.0,1575.0,196875.0,125.0,Anomalia multivariada (Isolation Forest)
76403_cana_de_azucar_2023_permanente_cana_o_verde,La Victoria,Caña,2023,1575.0,1575.0,189000.0,120.0,Anomalia multivariada (Isolation Forest)
76403_cana_de_azucar_2024_permanente_cana_o_verde,La Victoria,Caña,2024,1725.0,1575.0,189000.0,120.0,Anomalia multivariada (Isolation Forest)
76497_cana_de_azucar_2019_permanente_cana_o_verde,Obando,Caña,2019,8283.0,5275.0,643550.0,122.0,Anomalia multivariada (Isolation Forest)
76497_cana_de_azucar_2020_permanente_cana_o_verde,Obando,Caña,2020,8283.0,8283.0,1010526.0,122.0,Anomalia multivariada (Isolation Forest)
76497_cana_de_azucar_2021_permanente_cana_o_verde,Obando,Caña,2021,8463.0,8383.0,1021099.7,121.81,Anomalia multivariada (Isolation Forest)
76497_cana_de_azucar_2022_permanente_cana_o_verde,Obando,Caña,2022,8463.0,6463.0,782023.0,121.0,Anomalia multivariada (Isolation Forest)
76497_cana_de_azucar_2023_permanente_cana_o_verde,Obando,Caña,2023,8463.0,8163.0,979560.0,120.0,Anomalia multivariada (Isolation Forest)
76497_cana_de_azucar_2024_permanente_cana_o_verde,Obando,Caña,2024,8463.0,8463.0,1015560.0,120.0,Anomalia multivariada (Isolation Forest)
76520_cana_de_azucar_2019_permanente_cana_o_verde,Palmira,Caña,2019,33900.0,33900.0,4407000.0,130.0,Anomalia multivariada (Isolation Forest)
76520_cana_de_azucar_2020_permanente_cana_o_verde,Palmira,Caña,2020,33900.0,33900.0,4402306.84,129.86,Anomalia multivariada (Isolation Forest)
76520_cana_de_azucar_2021_permanente_cana_o_verde,Palmira,Caña,2021,33900.0,33900.0,4776340.5,140.9,Anomalia multivariada (Isolation Forest)
76520_cana_de_azucar_2022_permanente_cana_o_verde,Palmira,Caña,2022,33900.0,33900.0,4746000.0,140.0,Anomalia multivariada (Isolation Forest)
76520_cana_de_azucar_2023_permanente_cana_o_verde,Palmira,Caña,2023,33900.0,33900.0,4746000.0,140.0,Anomalia multivariada (Isolation Forest)
76520_cana_de_azucar_2024_permanente_cana_o_verde,Palmira,Caña,2024,33990.0,33900.0,4746000.0,140.0,Anomalia multivariada (Isolation Forest)
76563_cana_de_azucar_2019_permanente_cana_o_verde,Pradera,Caña,2019,10525.0,10525.0,1157750.0,110.0,Anomalia multivariada (Isolation Forest)
76563_cana_de_azucar_2020_permanente_cana_o_verde,Pradera,Caña,2020,10525.0,10525.0,1157750.0,110.0,Anomalia multivariada (Isolation Forest)
76563_cana_de_azucar_2021_permanente_cana_o_verde,Pradera,Caña,2021,10550.0,10550.0,1150794.0,109.08,Anomalia multivariada (Isolation Forest)
76563_cana_de_azucar_2022_permanente_cana_o_verde,Pradera,Caña,2022,10540.0,10540.0,1159400.0,110.0,Anomalia multivariada (Isolation Forest)
76563_cana_de_azucar_2023_permanente_cana_o_verde,Pradera,Caña,2023,10540.0,10540.0,1264800.0,120.0,Anomalia multivariada (Isolation Forest)
76563_cana_de_azucar_2024_permanente_cana_o_verde,Pradera,Caña,2024,10540.0,10540.0,1264800.0,120.0,Anomalia multivariada (Isolation Forest)
76616_cana_de_azucar_2019_permanente_cana_o_verde,Riofrío,Caña,2019,2870.0,2520.0,252000.0,100.0,Anomalia multivariada (Isolation Forest)
76616_cana_de_azucar_2020_permanente_cana_o_verde,Riofrío,Caña,2020,2870.0,2520.0,252000.0,100.0,Anomalia multivariada (Isolation Forest)
76616_cana_de_azucar_2021_permanente_cana_o_verde,Riofrío,Caña,2021,2870.0,2570.0,359800.0,140.0,Anomalia multivariada (Isolation Forest)
76616_cana_de_azucar_2022_permanente_cana_o_verde,Riofrío,Caña,2022,2870.0,2870.0,401800.0,140.0,Anomalia multivariada (Isolation Forest)
76616_cana_de_azucar_2023_permanente_cana_o_verde,Riofrío,Caña,2023,2870.0,2870.0,401800.0,140.0,Anomalia multivariada (Isolation Forest)
76616_cana_de_azucar_2024_permanente_cana_o_verde,Riofrío,Caña,2024,2930.0,2870.0,401800.0,140.0,Anomalia multivariada (Isolation Forest)
76616_platano_consumo_interno_2019_permanente_en_fresco,Riofrío,Plátano,2019,3593.0,3573.0,30152.0,8.44,Anomalia multivariada (Isolation Forest)
76616_platano_consumo_interno_2020_permanente_en_fresco,Riofrío,Plátano,2020,3983.0,3563.0,29929.2,8.4,Anomalia multivariada (Isolation Forest)
76616_platano_consumo_interno_2021_permanente_en_fresco,Riofrío,Plátano,2021,4023.0,3823.0,30584.0,8.0,Anomalia multivariada (Isolation Forest)
76616_platano_consumo_interno_2022_permanente_en_fresco,Riofrío,Plátano,2022,4033.0,4023.0,32184.0,8.0,Anomalia multivariada (Isolation Forest)
